Title,Genders,Developers,Publishers,Release Date (NA),Release Date (EU),Release Date (JP),Release Date (AU),Addons,Xbox One
50 Cent: Blood on the Sand,Third-person shooter,Swordfish Studios,THQ,"Feb 24, 2009","Feb 20, 2009","Jul 23, 2009","Feb 26, 2009",,XBO
A.R.E.S.: Extinction Agenda EX,Action & Adventure,Extend Studio,Aksys Games,"Oct 2, 2013",Unreleased,Unreleased,Unreleased,XBLA,
Absolute: Blazing Infinity,Tactical role-playing,Idea Factory,Idea Factory,Unreleased,Unreleased,"Mar 29, 2007",Unreleased,,
Abyss Odyssey,Action & Adventure,Ace Team,Atlus,"Jul 16, 2014",Unreleased,Unreleased,Unreleased,XBLA,
AC/DC Live: Rock Band Track Pack,Music,Harmonix,MTV Games,"Nov 2, 2008","Dec 19, 2008",Unreleased,"Dec 18, 2008",,
Ace Combat 6: Fires of Liberation,Combat flight simulation game,Namco Bandai Games,"Namco Bandai Games, AtariEU","Oct 23, 2007","Nov 23, 2007","Nov 1, 2007","Dec 13, 2007",,XBO
Ace Combat: Assault Horizon,Combat flight simulation game,Namco Bandai Games,Namco Bandai Games,"Oct 11, 2011","Oct 14, 2011","Oct 13, 2011","Oct 13, 2011",,
Aces of the Galaxy,Action-adventure,Artech Digital Entertainment,Vivendi Games,"Jun 4, 2008",Unreleased,Unreleased,Unreleased,XBLA,XBO
Adidas miCoach,Sports,Lightning Fish,505 Games,"Jul 24, 2012","Jul 13, 2012","Jul 26, 2012",Unreleased,K,
Adrenalin Misfits,Sports,Konami,Konami,"Nov 4, 2010","Nov 10, 2010","Nov 18, 2010","Nov 20, 2010",K,
Adventure Time: Explore the Dungeon Because I Don't Know!,Action-adventure,WayForward Technologies,D3 Publisher,"Nov 19, 2013","Nov 15, 2013",Unreleased,"Nov 21, 2013",,
Adventure Time: Finn & Jake Investigations,Action-adventure,Vicious Cycle Software,Little Orbit,"Oct 20, 2015","Nov 6, 2015",Unreleased,"Nov 5, 2015",,
Adventure Time: The Secret of the Nameless Kingdom,Action-adventure,WayForward Technologies,Little Orbit,"Nov 18, 2014","Nov 28, 2014",Unreleased,"Nov 20, 2014",,XBO
The Adventures of Shuggy,Action-adventure,Smudged Cat Games,Valcon Games,"Jun 15, 2012",Unreleased,Unreleased,Unreleased,XBLA,
The Adventures of Tintin: The Secret of the Unicorn,Action-adventure,Ubisoft Montpellier,Ubisoft,"Dec 6, 2011","Oct 21, 2011",Unreleased,"Dec 1, 2011",3D   K,
Aegis Wing,Action-adventure,Carbonated Games,Microsoft Game Studios,"May 16, 2007",Unreleased,Unreleased,Unreleased,XBLA,XBO
AFL Live,Sports,Big Ant Studios,Tru Blu Entertainment,Unreleased,"May 29, 2011",Unreleased,"Apr 21, 2011",,
AFL Live 2,Sports,Wicked Witch Software,Tru Blu Entertainment,Unreleased,Unreleased,Unreleased,"Sep 12, 2013",,
Afro Samurai,Action,Namco Bandai Games,Namco Bandai Games,"Jan 27, 2009","Mar 27, 2009",Unreleased,"Apr 2, 2009",,
After Burner Climax,Shooter,Sega,Sega,"Apr 21, 2010",Unreleased,Unreleased,Unreleased,XBLA,
Age of Booty,Strategy & Simulation,Certain Affinity,Capcom,"Oct 15, 2008",Unreleased,Unreleased,Unreleased,XBLA,XBO
Air Conflicts: Pacific Carriers,Combat flight simulation game,Games Farm,bitComposer,Unreleased,"Dec 7, 2012",Unreleased,"Sep 26, 2012",,
Air Conflicts: Secret Wars,Combat flight simulation game,Games Farm,bitComposer,"Sep 28, 2011","Jul 8, 2011",Unreleased,"Aug 4, 2011",,
Air Conflicts: Vietnam,Combat flight simulation game,Kalypso Media,Kalypso Media,"Oct 15, 2013","Oct 15, 2013","Sep 12, 2013","Oct 15, 2013",,
AirMech Arena,Action & Adventure,Carbon Games,Ubisoft,"Jul 30, 2014",Unreleased,Unreleased,Unreleased,XBLA,XBO
Akai Katana Shin,Bullet hell,Cave,Cave,"May 15, 2012","May 11, 2012","May 26, 2011","Aug 28, 2012",,
Akatsuki no Amaneka to Aoi Kyojin,Action-adventure,CyberFront,CyberFront,Unreleased,Unreleased,"Jun 28, 2011",Unreleased,,
Alan Wake,Third-person shooter,Remedy Entertainment,Microsoft Game Studios,"May 18, 2010","May 14, 2010","May 27, 2010","May 20, 2010",,XBO
Alan Wake's American Nightmare,Action & Adventure,Remedy Entertainment,Microsoft Studios,"Feb 22, 2012","Feb 22, 2012","Feb 22, 2012","Feb 22, 2012",XBLA,XBO
Alarm for Cobra 11: Crash Time,Racing,Synetic,RTL,Unreleased,"May 8, 2008",Unreleased,Unreleased,,
Alice: Madness Returns,Action-adventure,Spicy Horse,Electronic Arts,"Jun 14, 2011","Jun 17, 2011","Jul 21, 2011","Jun 16, 2011",,XBO
Alien Breed 2: Assault,Shooter,Team17,Microsoft Game Studios,"Sep 22, 2010",Unreleased,Unreleased,Unreleased,XBLA,
Alien Breed 3: Descent,Shooter,Team17,Microsoft Game Studios,"Nov 17, 2010",Unreleased,Unreleased,Unreleased,XBLA,
Alien Breed: Evolution,Shooter,Team17,Microsoft Game Studios,"Dec 16, 2009",Unreleased,Unreleased,Unreleased,XBLA,
Alien Hominid HD,Action & Adventure,The Behemoth,Microsoft Game Studios,"Feb 28, 2007",Unreleased,Unreleased,Unreleased,XBLA,XBO
Alien Rage,Shooter,CI Games,CI Games,"Oct 18, 2013",Unreleased,Unreleased,Unreleased,XBLA,
Alien Spidy,Action & Adventure,Enigma Software Productions,Kalypso Media,"Mar 20, 2013",Unreleased,Unreleased,Unreleased,XBLA,
Alien: Isolation,Survival horror,The Creative Assembly,Sega,"Oct 7, 2014","Oct 7, 2014",Unreleased,"Oct 7, 2014",,
Aliens vs. Predator,First-person shooter,Rebellion Developments,Sega,"Feb 16, 2010","Feb 19, 2010",Unreleased,"Feb 18, 2010",,XBO
Aliens: Colonial Marines,First-person shooter,Gearbox Software,Sega,"Feb 12, 2013","Feb 12, 2013",Unreleased,"Feb 12, 2013",,
All Round Hunter,Hunting/Fishing,Beast Studios,505 Games,"Jun 25, 2010","Jun 25, 2010",Unreleased,Unreleased,,
All Zombies Must Die!,Action & Adventure,Doublesix,Square Enix,"Dec 27, 2011","Jan 4, 2012",Unreleased,Unreleased,XBLA,
All-Pro Football 2K8,Sports,Visual Concepts,2K Sports,"Jul 16, 2007",Unreleased,Unreleased,Unreleased,,
Alone in the Dark,Survival horror,Eden Games,Atari,"Jun 23, 2008","Jun 20, 2008","Dec 25, 2008","Jun 26, 2008",,
Alpha Protocol,Action role-playing,Obsidian Entertainment,Sega,"Jun 1, 2010","May 28, 2010",Unreleased,"May 27, 2010",,
Altered Beast,Classics,Backbone Entertainment,Sega,"Jun 10, 2009",Unreleased,Unreleased,Unreleased,XBLA,XBO
Alvin and the Chipmunks: Chipwrecked,Music,Behaviour Interactive,"Majesco Entertainment, 505 Games","Nov 15, 2011","Apr 5, 2012",Unreleased,Unreleased,K,
The Amazing Spider-Man,Action-adventure,Beenox,Activision,"Jun 26, 2012","Jun 29, 2012",Unreleased,"Jun 27, 2012",,
The Amazing Spider-Man 2,Action-adventure,Beenox,Activision,"Apr 29, 2014","May 2, 2014",Unreleased,"May 7, 2014",,
Amaneka of Dawn and the Deep-Blue Golem,Strategy,Kogado Studio,Cyberfront,Unreleased,Unreleased,"Mar 11, 2010",Unreleased,,
American McGee's Alice,Puzzle & Trivia,Silverball Studios,Square Enix,"Dec 12, 2012",Unreleased,Unreleased,Unreleased,XBLA,
American Mensa Academy,Action & Adventure,Rogue Entertainment,Electronic Arts,"Jun 14, 2011",Unreleased,Unreleased,Unreleased,XBLA,
America's Army: True Soldiers,Tactical Shooter,Red Storm Entertainment,Ubisoft,"Nov 15, 2007",Unreleased,Unreleased,Unreleased,,
Amped 3,Sports,Indie Built,2K Sports,"Nov 22, 2005","Dec 2, 2005",Unreleased,"Mar 23, 2006",,
AMY,Action & Adventure,VectorCell,Lexis Numérique,"Jan 11, 2012",Unreleased,Unreleased,Unreleased,XBLA,
Anarchy Reigns,Beat 'em up,PlatinumGames,Sega,"Jan 8, 2013","Jan 11, 2013","Jul 5, 2012","Jan 10, 2013",,
Ancients of Ooga,Platformer,NinjaBee,Microsoft Game Studios,"Jun 30, 2010",Unreleased,Unreleased,Unreleased,XBLA,
Angry Birds Star Wars,Puzzle,"Rovio Entertainment, Exient Entertainment",Activision,"Oct 29, 2013","Nov 1, 2013","Nov 8, 2013",Unreleased,,
Angry Birds Trilogy,Puzzle,Rovio Entertainment,Activision,"Sep 25, 2012","Sep 28, 2012",Unreleased,"Nov 14, 2012",K,
Anna: Extended Edition,Action & Adventure,Dreampainters,Kasedo Games,"Sep 26, 2014",Unreleased,Unreleased,Unreleased,XBLA,
Anomaly: Warzone Earth,Strategy & Simulation,11 Bit Studios,Microsoft Studios,"Apr 6, 2012",Unreleased,Unreleased,Unreleased,XBLA,XBO
Apache: Air Assault,Combat flight simulation game,Gaijin Entertainment,Activision,"Nov 16, 2010","Nov 19, 2010",Unreleased,"Feb 23, 2011",,
Apocalypse: Desire Next,Strategy,Idea Factory,Idea Factory,Unreleased,Unreleased,"Nov 29, 2007",Unreleased,,
Apples to Apples,Puzzle & Trivia,ImaginEngine,THQ,"Dec 7, 2011",Unreleased,Unreleased,Unreleased,XBLA,
Aqua,Action & Adventure,Games Distillery,Microsoft Game Studios,"May 19, 2010",Unreleased,Unreleased,Unreleased,XBLA,XBO
AquaZone: Life Simulator,Simulation,Frontier Groove,Frontier Groove,Unreleased,Unreleased,"Sep 14, 2006",Unreleased,,
Arcana Heart 3,Fighting,Examu,Arc System Works,Unreleased,"Aug 19, 2011","Jan 13, 2011",Unreleased,,
Arcania: Gothic 4,Action role-playing,Spellbound Entertainment,JoWood,"Oct 19, 2010","Oct 29, 2010","Mar 24, 2011","Nov 21, 2010",,
Arcania: The Complete Tale,"Action role-playing, Expansion",Spellbound Entertainment,Nordic Games,"Nov 8, 2013","Aug 30, 2013",Unreleased,"Jul 15, 2013",,
Are You Smarter Than a 5th Grader?: Game Time,Family & Educational,Blitz Games,THQ,"Oct 26, 2009",Unreleased,Unreleased,Unreleased,XBLA,
Are You Smarter Than a 5th Grader?: Make The Grade,Family & Educational,Blitz Games,THQ,"Oct 29, 2008",Unreleased,Unreleased,Unreleased,XBLA,XBO
Arkadian Warriors,Action & Adventure,Wanako Games,Activision,"Dec 12, 2007",Unreleased,Unreleased,Unreleased,XBLA,
Arkanoid Live!,Puzzle & Trivia,Taito,Taito,"May 6, 2009",Unreleased,Unreleased,Unreleased,XBLA,XBO
Armored Core 4,Vehicular combat,FromSoftware,"Sega, 505 GamesEU, From SoftwareJP","Mar 20, 2007","Jun 22, 2007","Mar 22, 2007","Jun 28, 2007",,
Armored Core V,Vehicular combat,FromSoftware,Namco Bandai Games America,"Mar 20, 2012","Mar 23, 2012","Jan 26, 2012","Mar 22, 2012",,
Armored Core: For Answer,Vehicular combat,FromSoftware,Sega,"Sep 16, 2008","Nov 28, 2008","Mar 19, 2008","Nov 27, 2008",,
Armored Core: Verdict Day,Vehicular combat,FromSoftware,Namco Bandai,"Sep 24, 2013","Sep 27, 2013","Sep 26, 2013","Sep 26, 2013",,
Army of Two,Third-person shooter,EA Montreal,Electronic Arts,"Mar 6, 2008","Mar 7, 2008","Mar 19, 2008","Mar 13, 2008",,XBO
Army of Two: The 40th Day,Third-person shooter,EA Montreal,Electronic Arts,"Jan 12, 2010","Jan 15, 2010","Mar 25, 2010","Jan 14, 2010",,
Army of Two: The Devil's Cartel,Third-person shooter,Visceral Games,Electronic Arts,"Mar 26, 2013","Mar 29, 2013","Mar 28, 2013","Mar 28, 2013",,
Ascend: Hand of Kul,Action & Adventure,Signal Studios,Microsoft Studios,"Sep 25, 2013",Unreleased,Unreleased,Unreleased,XBLA,
Ashes Cricket 2009,Sports,Transmission Games,Codemasters,Unreleased,"Jul 8, 2009",Unreleased,"Jul 13, 2009",,
Assassin's Creed,Action-adventurestealth,Ubisoft Montreal,Ubisoft,"Nov 13, 2007","Nov 16, 2007","Nov 29, 2007","Nov 21, 2007",,XBO   XE
Assassin's Creed II,"Action-adventure, stealth",Ubisoft Montreal,Ubisoft,"Nov 17, 2009","Nov 20, 2009","Dec 3, 2009","Nov 19, 2009",,XBO
Assassin's Creed III,"Action-adventure, stealth",Ubisoft Montreal,Ubisoft,"Oct 30, 2012","Oct 31, 2012","Nov 15, 2012","Oct 31, 2012",3D,XBO
Assassin's Creed IV: Black Flag,"Action-adventure, stealth",Ubisoft Montreal,Ubisoft,"Oct 29, 2013","Oct 29, 2013","Nov 28, 2013","Oct 29, 2013",,XBO
Assassin's Creed Rogue,"Action-adventure, stealth",Ubisoft Sofia,Ubisoft,"Nov 11, 2014","Nov 14, 2014",Unreleased,"Nov 13, 2014",,XBO
Assassin's Creed: Brotherhood,"Action-adventure, stealth",Ubisoft Montreal,Ubisoft,"Nov 16, 2010","Nov 19, 2010","Dec 9, 2010","Nov 18, 2010",,XBO
Assassin's Creed: Liberation HD,Action & Adventure,Ubisoft Sofia,Ubisoft,"Jan 15, 2014","Jan 15, 2014","Jan 15, 2014","Jan 15, 2014",XBLA,XBO
Assassin's Creed: Revelations,"Action-adventure, stealth",Ubisoft Montreal,Ubisoft,"Nov 15, 2011","Nov 15, 2011","Dec 1, 2011","Nov 15, 2011",3D,XBO
Assault Heroes,Action & Adventure,Wanako Games,Microsoft Game Studios,"Dec 13, 2006",Unreleased,Unreleased,Unreleased,XBLA,
Assault Heroes 2,Action & Adventure,Wanako Games,Vivendi Games,"May 14, 2008",Unreleased,Unreleased,Unreleased,XBLA,XBO
Asterix at the Olympic Games,Sports,Étranges Libellules,Atari,Unreleased,"Aug 22, 2008",Unreleased,Unreleased,,
Asteroids,Classics,Stainless Games,Atari,"Nov 28, 2007",Unreleased,Unreleased,Unreleased,XBLA,XBO
AstroPop,Puzzle & Trivia,PopCap Games,Microsoft Game Studios,"Mar 22, 2006",Unreleased,Unreleased,Unreleased,XBLA,XBO
Asura's Wrath,"Action, Beat 'em up",CyberConnect2,Capcom,"Feb 21, 2012","Mar 9, 2012","Feb 23, 2012","Feb 23, 2012",,XBO
Attack of the Movies 3D,Rail Shooter,Panic Button,Majesco Entertainment,"May 18, 2010",Unreleased,Unreleased,Unreleased,,
A-Train HX,Train Sim,Artdink,"505 GamesEU, ArtdinkJP",Unreleased,"Mar 7, 2008","Dec 21, 2006","Feb 28, 2008",,
Autobahn Polizei,Racing,Tommo,Conspiracy Entertainment,"May 4, 2010",Unreleased,Unreleased,Unreleased,,
Avatar FameStar,Party Game,Microsoft Studios,Microsoft Studios,"Jul 26, 2012",Unreleased,Unreleased,Unreleased,XBLA,
Avatar: The Last Airbender – The Burning Earth,Action-adventure,THQ,THQ,"Nov 19, 2007","Nov 16, 2007",Unreleased,"Nov 29, 2007",,
Awesomenauts,Platformer,Ronimo Games,dtp entertainment,"May 2, 2012",Unreleased,Unreleased,Unreleased,XBLA,
Axel & Pixel,Family & Educational,Silver Wish Games,2K Games,"Oct 14, 2009",Unreleased,Unreleased,Unreleased,XBLA,XBO
Babel Rising,Kinect,Mando Productions,Ubisoft,"Jun 13, 2012",Unreleased,Unreleased,Unreleased,K   XBLA,XBO
Back to the Future: The Game,Graphic adventure,Telltale Games,Telltale Games,"Oct 13, 2015",Unreleased,Unreleased,"Oct 23, 2010",,
Backbreaker,Sports,NaturalMotion,505 Games,"Jun 1, 2010","Jun 4, 2010",Unreleased,"Jun 3, 2010",,
Backbreaker: Vengeance,Sports & Recreation,NaturalMotion,505 Games,"Jun 29, 2011",Unreleased,Unreleased,Unreleased,XBLA,
Backyard Football 2010,Sports,FarSight Studios,Atari,"Oct 20, 2009",Unreleased,Unreleased,Unreleased,,
Backyard Sports: Rookie Rush,Sports,HB Studios,Atari,"Oct 20, 2010",Unreleased,Unreleased,Unreleased,,
Backyard Sports: Sandlot Sluggers,Sports,HB Studios,Atari,"May 25, 2010",Unreleased,Unreleased,Unreleased,,
Baja: Edge of Control,Racing,2XL Games,THQ,"Sep 22, 2008","Sep 26, 2008",Unreleased,"Sep 25, 2008",,
Bakugan Battle Brawlers,Action,Now Production,Activision,"Oct 20, 2009","Oct 23, 2009",Unreleased,"Oct 28, 2009",,
Bakugan: Defenders of the Core,Action,Now Production,Activision,"Oct 26, 2010","Oct 29, 2010",Unreleased,"Oct 27, 2010",,
Band Hero,Music,Neversoft,Activision,"Nov 3, 2009","Nov 6, 2009",Unreleased,"Nov 25, 2009",,
Band of Bugs,Strategy & Simulation,NinjaBee,Microsoft Game Studios,"Jun 20, 2007",Unreleased,Unreleased,Unreleased,XBLA,XBO
BandFuse: Rock Legends,Music,Realta Entertainment Group,Mastiff,"Nov 19, 2013",Unreleased,"Dec 19, 2013",Unreleased,,
Bang Bang Racing,Racing & Flying,Digital Reality,Digital Reality,"Jun 6, 2012",Unreleased,Unreleased,Unreleased,XBLA,
Bangai-O HD: Missile Fury,Shooter,Treasure,D3 Publisher,"May 4, 2011",Unreleased,Unreleased,Unreleased,XBLA,
Banjo-Kazooie,Classics,Rare/4J Studios,Microsoft Game Studios,"Nov 26, 2008","Nov 26, 2008","Nov 26, 2008","Nov 26, 2008",XBLA,XBO   XE
Banjo-Kazooie: Nuts & Bolts,"Platformer, Construction and management simulation",Rare,Microsoft Game Studios,"Nov 11, 2008","Nov 14, 2008","Dec 11, 2008","Nov 20, 2008",,XBO   XE
Banjo-Tooie,Classics,Rare/4J Studios,Microsoft Game Studios,"Apr 29, 2009","Apr 29, 2009","Apr 29, 2009","Apr 29, 2009",XBLA,XBO   XE
Bankshot Billiards 2,Sports & Recreation,PixelStorm,Microsoft Game Studios,"Nov 22, 2005",Unreleased,Unreleased,Unreleased,XBLA,
Barbie and her Sisters: Puppy Rescue,Party,Little Orbit,Little Orbit,"Nov 3, 2015","Nov 6, 2015",Unreleased,"Nov 5, 2015",,
Bass Pro Shops: The Hunt,Hunting/Fishing,Piranha Games,XS Games,"Jun 2, 2010",Unreleased,Unreleased,Unreleased,,
Bass Pro Shops: The Strike,Hunting/Fishing,Piranha Games,XS Games,"Oct 6, 2009",Unreleased,Unreleased,Unreleased,,
Bastion,Role Playing,Supergiant Games,Warner Bros. Interactive Entertainment,"Jul 20, 2011","Jul 20, 2011","Jul 20, 2011","Jul 20, 2011",XBLA,
Batman: Arkham Asylum,Action-adventure,Rocksteady Studios,Warner Bros. Interactive Entertainment,"Aug 25, 2009","Aug 28, 2009","Jan 14, 2010","Sep 3, 2009",3D,
Batman: Arkham City,Action-adventure,Rocksteady Studios,Warner Bros. Interactive Entertainment,"Oct 18, 2011","Oct 21, 2011","Nov 23, 2011","Oct 19, 2011",3D,
Batman: Arkham Origins,Action-adventure,WB Games Montréal,Warner Bros. Interactive Entertainment,"Oct 25, 2013","Oct 25, 2013","Dec 5, 2013","Oct 25, 2013",,XBO
Batman: Arkham Origins Blackgate - Deluxe Edition,Action & Adventure,Armature Studio,Warner Bros. Interactive Entertainment,"Apr 1, 2014","Apr 2, 2014",Unreleased,"Apr 2, 2014",XBLA,
Batman: The Telltale Series,Graphic adventure,Telltale Games,Telltale Games,"Sep 13, 2016","Sep 16, 2016",Unreleased,"Sep 28, 2016",XBLA,
Battle Academy,Turn-based strategy,Slitherine,Slitherine,"Dec 12, 2014",Unreleased,Unreleased,Unreleased,XBLA,
Battle Fantasia,Fighting,Arc System Works,Arc System Works,"Sep 16, 2008","Mar 6, 2009","May 29, 2008",Unreleased,,
Battle vs. Chess,Board Game,"TopWare Interactive, Gaijin Entertainment",SouthPeak Games,Unreleased,"May 11, 2011",Unreleased,Unreleased,,
Battle: Los Angeles,Action & Adventure,Live Action Studios,Konami,"Mar 11, 2011",Unreleased,Unreleased,Unreleased,XBLA,
BattleBlock Theater,Action & Adventure,The Behemoth,Microsoft Studios,"Apr 3, 2013","Apr 3, 2013","Apr 3, 2013","Apr 3, 2013",XBLA,XBO
Battlefield 1943,Shooter,EA DICE,Electronic Arts,"Jul 8, 2009",Unreleased,Unreleased,Unreleased,XBLA,XBO
Battlefield 2: Modern Combat,First-person shooter,EA Digital Illusions CE,Electronic Arts,"Apr 11, 2006","Apr 13, 2006","Apr 27, 2006","Apr 12, 2006",,XBO
Battlefield 3,First-person shooter,EA Digital Illusions CE,Electronic Arts,"Oct 25, 2011","Oct 28, 2011","Nov 2, 2011","Oct 27, 2011",,XBO
Battlefield 4,First-person shooter,EA Digital Illusions CE,Electronic Arts,"Oct 29, 2013","Nov 1, 2013","Nov 7, 2013","Oct 31, 2013",,
Battlefield Hardline,First-person shooter,Visceral Games,Electronic Arts,"Mar 17, 2015","Mar 20, 2015","Mar 19, 2015","Mar 19, 2015",,
Battlefield: Bad Company,First-person shooter,EA Digital Illusions CE,Electronic Arts,"Jun 23, 2008","Jun 27, 2008","Jun 26, 2008","Jun 26, 2008",,XBO
Battlefield: Bad Company 2,First-person shooter,EA Digital Illusions CE,Electronic Arts,"Mar 2, 2010","Mar 5, 2010","Mar 11, 2010","Mar 4, 2010",,XBO
Battleship,First-person shooter,Double Helix Games,Activision,"May 15, 2012","Apr 20, 2012",Unreleased,"Apr 18, 2012",,
Battlestar Galactica,Action,N3V Games,Sierra Entertainment,"Oct 24, 2007",Unreleased,Unreleased,Unreleased,XBLA,
Battlestations: Midway,"Action, Real-time tactics",Eidos Interactive,"Eidos Interactive, Spike JP","Jan 30, 2007","Feb 9, 2007","Feb 7, 2008","Feb 16, 2007",,XBO
Battlestations: Pacific,"Action, Real-time tactics",Eidos Interactive,Eidos Interactive,"May 12, 2009","May 15, 2009","May 21, 2009","May 28, 2009",,XBO
Battlezone,Classics,Stainless Games,Atari,"Apr 16, 2008",Unreleased,Unreleased,Unreleased,XBLA,
Bayonetta,"Action, hack and slash",PlatinumGames,Sega,"Jan 5, 2010","Jan 8, 2010","Oct 29, 2009","Jan 7, 2010",,XBO
Beat'n Groovy,Action & Adventure,"Voltex, Inc.",Konami,"Oct 8, 2008",Unreleased,Unreleased,Unreleased,XBLA,XBO
The Beatles: Rock Band,Music,Harmonix,MTV Games,"Sep 9, 2009","Sep 9, 2009",Unreleased,"Sep 9, 2009",,
Beautiful Katamari,"Puzzle, Action, Third-person",Namco Bandai Games,Namco Bandai Games,"Oct 16, 2007","Feb 29, 2008","Oct 18, 2007","Mar 7, 2008",,XBO
Bee Movie Game,"Action, Adventure",Beenox,Activision,"Oct 30, 2007","Nov 16, 2007",Unreleased,"Dec 5, 2007",,
Beijing 2008,Sports,Eurocom,Sega,"Jul 8, 2008","Jun 27, 2008","Jul 31, 2008","Jun 26, 2008",,
Bejeweled 2,Puzzle & Trivia,PopCap Games,PopCap Games,"Nov 22, 2005",Unreleased,Unreleased,Unreleased,XBLA,XBO
Bejeweled 3,Puzzle & Trivia,PopCap Games,PopCap Games,"Dec 10, 2010",Unreleased,Unreleased,Unreleased,XBLA,XBO
Bejeweled Blitz Live,Puzzle & Trivia,PopCap Games,PopCap Games,"Feb 23, 2011",Unreleased,Unreleased,Unreleased,XBLA,
Bellator: MMA Onslaught,Fighting,Kung Fu Factory,345 Games,"Jul 4, 2012",Unreleased,Unreleased,Unreleased,XBLA,XBO
Ben 10 Alien Force: The Rise of Hex,Action & Adventure,Black Lantern Studios,Konami,"May 26, 2010",Unreleased,Unreleased,Unreleased,,
Ben 10 Alien Force: Vilgax Attacks,Action,Papaya Studio,D3 Publisher,"Oct 27, 2009","Mar 12, 2010",Unreleased,"Nov 19, 2009",,
Ben 10: Galactic Racing,Racing,Monkey Bar Games,D3 Publisher,"Oct 18, 2011","Nov 25, 2011",Unreleased,"Nov 24, 2011",,
Ben 10: Omniverse,"Action, Beat 'em up",Vicious Cycle Software,D3 Publisher,"Nov 13, 2012","Nov 30, 2012",Unreleased,"Nov 29, 2012",,
Ben 10: Omniverse 2,"Action, Beat 'em up",High Voltage Software,D3 Publisher,"Nov 5, 2013","Nov 22, 2013",Unreleased,"Nov 28, 2013",,
Ben 10 Ultimate Alien: Cosmic Destruction,Action-adventure,Papaya Studio,D3 Publisher,"Oct 19, 2010","Oct 19, 2010",Unreleased,"Jan 10, 2011",,
Beowulf: The Game,"Action, Hack & Slash",Ubisoft,Ubisoft,"Nov 13, 2007","Nov 16, 2007",Unreleased,"Nov 22, 2007",,
Beyond Good & Evil HD,Action-adventure,Ubisoft Shanghai,Ubisoft,"Mar 2, 2011",Unreleased,Unreleased,Unreleased,XBLA,XBO
Big Bumpin',"Racing, Action",Blitz Games,King Games,"Nov 19, 2006",Unreleased,Unreleased,Unreleased,,
Big League Sports,Sports,Koolhaus Games,Activision,"Nov 8, 2011","Nov 11, 2011",Unreleased,Unreleased,K,
The Biggest Loser: Ultimate Workout,Fitness,Blitz Games Studios,THQ,"Nov 4, 2010","Nov 10, 2010","Nov 18, 2010",Unreleased,K,
The Bigs 2,"Sports, baseball",Blue Castle Games,2K Sports,"Jul 7, 2009","Jul 17, 2009",Unreleased,"Jul 17, 2009",,
The Bigs,"Sports, baseball",Blue Castle Games,2K Sports,"Jun 25, 2007",Unreleased,Unreleased,Unreleased,,
Binary Domain,Third-person shooter,Ryū ga Gotoku Studios,Sega,"Feb 28, 2012","Feb 24, 2012","Feb 16, 2012","Feb 23, 2012",K,XBO
Bionic Commando,"Action-adventure, third-person shooter",GRIN,Capcom,"May 19, 2009","May 22, 2009","Jun 25, 2009","May 21, 2009",,
Bionic Commando Rearmed,Action & Adventure,GRIN,Capcom,"Aug 13, 2008",Unreleased,Unreleased,Unreleased,XBLA,
Bionic Commando Rearmed 2,Action & Adventure,Fatshark,Capcom,"Feb 2, 2011",Unreleased,Unreleased,Unreleased,XBLA,XBO
Bionicle Heroes,Third-person shooter,Traveller's Tales,Eidos Interactive,"Nov 15, 2006","Nov 24, 2006",Unreleased,"Dec 1, 2006",,
